号牌号码,罚款金额,记分值,违法时间,违法行为,违法地点,是否处理,缴款状态,号牌种类
浙HHW705,200,6,2020-07-19 12:02,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,江山市墩贺线16公里590米贺村镇丰益村村委路段,已处理,已交款,小型汽车
浙HHW705,200,3,2020-07-10 18:44,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,（京台高速）江山市江郎山出口连接线1公里700米清湖街道东儒村路段,已处理,已交款,小型汽车
浙HHW705,200,3,2020-07-08 18:18,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,（京台高速）江山市江郎山出口连接线1公里700米清湖街道东儒村路段,已处理,已交款,小型汽车
浙HHW705,100,6,2020-07-06 09:46,驾驶机动车违反道路交通信号灯通行的,怀玉山大道与玉清大道,已处理,已交款,小型汽车
浙HHW705,200,6,2020-04-21 11:20,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,G2504杭州绕城高速74公里900米,已处理,已交款,小型汽车
浙HHW705,100,3,2020-04-21 11:18,违反禁令标志指示,G2504杭州绕城高速73公里500米,已处理,已交款,小型汽车
浙HHW705,200,6,2020-04-12 22:01,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,江山市墩贺线16公里590米贺村镇丰益村村委路段,已处理,已交款,小型汽车
浙HHW705,50,0,2020-04-07 09:41,机动车不按规定临时停车影响其他车辆和行人通行的,江山市区南市街(南市街解放南路口至南门路口路段),已处理,已交款,小型汽车
浙HHW705,200,3,2020-04-05 06:45,逆向行驶的,宣狸路34公里500米,已处理,已交款,小型汽车
浙HHW705,100,2,2020-04-05 06:22,机动车通过有灯控路口时，不按所需行进方向驶入导向车道的,269省道19公里50米-由北向南,已处理,已交款,小型汽车
浙HHW715,200,3,2020-07-20 20:38,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,G6021杭长高速0154KM580M(上海方向),已处理,已交款,小型汽车
